Date,Price,Open,High,Low,Vol.,Change %,pred
2020-02-17,14.2,13.8,14.3,13.7,1190000,0.029,1.0
2020-02-16,13.8,13.6,13.9,13.6,828720,0.0222,1.0
2020-02-13,13.5,13.4,13.6,13.2,391100,0.015,1.0
2020-02-12,13.3,13.5,13.6,13.3,331650,-0.0075,1.0
2020-02-11,13.4,13.6,13.8,13.3,509180,0.0,1.0
2020-02-10,13.4,13.3,13.6,13.3,320000,0.0075,1.0
2020-02-09,13.3,13.5,13.6,13.2,200370,-0.0075,1.0
2020-02-06,13.4,13.5,13.7,13.3,246400,-0.0074,1.0
2020-02-05,13.5,13.5,13.8,13.4,301040,0.0,1.0
2020-02-04,13.5,13.8,13.8,13.4,259860,-0.0146,1.0
2020-02-03,13.7,14.0,14.2,13.6,395770,-0.0214,1.0
2020-02-02,14.0,13.5,14.1,13.4,582540,0.0448,1.0
2020-01-30,13.4,13.7,13.7,13.3,276530,-0.0147,1.0
2020-01-29,13.6,13.8,13.8,13.6,205880,-0.0073,1.0
2020-01-28,13.7,13.7,13.8,13.4,293020,0.0074,1.0
2020-01-27,13.6,13.8,13.8,13.4,338510,-0.0145,1.0
2020-01-26,13.8,13.8,14.1,13.6,383730,0.0,1.0
2020-01-23,13.8,13.2,13.9,13.2,619190,0.0455,1.0
2020-01-22,13.2,13.1,13.3,13.0,185180,0.0154,1.0
2020-01-21,13.0,13.4,13.4,13.0,383550,-0.0299,1.0
2020-01-20,13.4,13.6,13.9,13.3,360360,-0.0074,1.0
